date,title,company,location,score,via,url,recruiters,engineers
2026-08-05,Backend Developer(Node.js/Python),Euphoric Thought Technologies Pvt Ltd,"Gurugram, Haryana",2,Shine,https://www.shine.com/jobs/backend-developernodejs-python/euphoric-thought-technologies-pvt-ltd/19383208,https://www.linkedin.com/search/results/people/?keywords=%22Euphoric%20Thought%20Technologies%20Pvt%20Ltd%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Euphoric%20Thought%20Technologies%20Pvt%20Ltd%22%20software%20engineer
2026-08-05,Node.js Developer (1+ Year Experience) with React Knowledge,ByteZora IT Consulting & Technologies,India,2,Glassdoor,"https://www.glassdoor.com/job-listing/node-js-developer-1-year-experience-with-react-knowledge-bytezora-it-consulting-and-technologies-JV_KO0,56_KE57,96.htm?jl=1010220529154",https://www.linkedin.com/search/results/people/?keywords=%22ByteZora%20IT%20Consulting%20%26%20Technologies%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ByteZora%20IT%20Consulting%20%26%20Technologies%22%20software%20engineer
2026-08-05,SDE-2 Backend Developer. -Python-FastAPI - Typescript - AWS,HYrEzy Tech Solutions,India,2,BeBee,https://bebee.com/in/jobs/sde-2-backend-developer-python-fastapi-typescript-aws-hyrezy-tech-solutions--bs-in-c09dd281-c8c4-4076-8449-2137887c3729,https://www.linkedin.com/search/results/people/?keywords=%22HYrEzy%20Tech%20Solutions%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22HYrEzy%20Tech%20Solutions%22%20software%20engineer
2026-08-05,Full Stack Developer (React.js + Node.js) - Urgent Hiring (Jalandhar),Edanpower Enterprises,"Jalandhar, Punjab",2,Shine,https://www.shine.com/jobs/full-stack-developer-reactjs-nodejs-urgent-hiring-jalandhar/edanpower-enterprises/19376161,https://www.linkedin.com/search/results/people/?keywords=%22Edanpower%20Enterprises%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Edanpower%20Enterprises%22%20software%20engineer
2026-08-05,"Fullstack Developer - Node.js, React, PostgreSQL, Kubernetes (Chennai)",Cognizant,"Chennai, Tamil Nadu",2,Kit Job,https://www.kitjob.in/job/307982177/fullstack-developer-node-js-react-postgresql-kubernetes-chennai,https://www.linkedin.com/search/results/people/?keywords=%22Cognizant%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Cognizant%22%20software%20engineer
2026-08-05,Cloud Database Infrastructure Engineer,ClickHouse,United States (Remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5778617004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Cloud Security Engineer,ClickHouse,Netherlands (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5854400004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Cloud Software Engineer - Observability Platform,ClickHouse,Canada (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5658009004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Core Software Engineer (C++) - Remote,ClickHouse,Germany (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5755092004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Database Reliability Engineer - Core Team,ClickHouse,Netherlands (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5843421004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Full Stack Software Engineer - Billing Team,ClickHouse,United States (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5584386004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Full Stack Software Engineer - Control Plane,ClickHouse,Germany (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5587665004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,"Generative AI Engineer_Python, LLM, RAG (Bengaluru)",Anlage Infotech,"Bengaluru, Karnataka",2,Kit Job,https://www.kitjob.in/job/307981366/generative-ai-engineer-python-llm-rag-bengaluru,https://www.linkedin.com/search/results/people/?keywords=%22Anlage%20Infotech%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Anlage%20Infotech%22%20software%20engineer
2026-08-05,Incident Response Security Engineer,ClickHouse,Singapore (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5848335004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Offensive Security Engineer,ClickHouse,Netherlands (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/6116798004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,QA Engineer - Core Database (remote),ClickHouse,United States (remote),1,ClickHouse careers,https://job-boards.greenhouse.io/clickhouse/jobs/5654027004,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22ClickHouse%22%20software%20engineer
2026-08-05,Automation engineer (Warehouse Automation),Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/fe839191-1761-4094-9d3c-4d554904b84d,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
2026-08-05,Data Scientist III,Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/489fe662-5d28-4305-953e-91ee21e8538c,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
2026-08-05,Forward Deployed Engineer - II,Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/fcceab83-4d26-4ea3-a5bc-b137b7e5ee5a,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
2026-08-05,GTM Engineer – Meesho AI Services (MAS),Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/c49e13f6-f027-42f3-98b5-745d83997cbf,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
2026-08-05,Security Engineer IV,Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/f4e2e8e1-6863-4fe0-85fb-7840189cad3f,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
2026-08-05,Software Development Engineer III Data,Meesho,"Bangalore, Karnataka",1,Meesho careers,https://jobs.lever.co/meesho/7bb1de7e-8756-412b-8c71-0ba40863edc8,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20recruiter,https://www.linkedin.com/search/results/people/?keywords=%22Meesho%22%20software%20engineer
